Event,Site,UTCDate,UTCTime,White,Black,Result,WhiteElo,BlackElo,TimeControl,Termination,PlyCount,MoveCount
Rated Blitz game,https://lichess.org/8LwiNwZm,2025.12.01,00:00:13,Izamutdin,Raximov_Toshpolat,0-1,1811,1831,300+0,Normal,106,53
Rated Blitz game,https://lichess.org/6Flf8x0r,2025.12.01,00:00:13,RC-UTOAAGI,tomallen99,1-0,2062,2061,300+0,Normal,65,33
Rated Blitz game,https://lichess.org/vlJZrPaq,2025.12.01,00:00:13,Bruggor,Nitinagg,0-1,1765,1752,300+0,Time forfeit,114,57
Rated Blitz game,https://lichess.org/1p2hqIJf,2025.12.01,00:00:13,MalteseKnight,kirimba,1/2-1/2,1081,1103,300+0,Normal,34,17
Rated Blitz game,https://lichess.org/GT7IDdXC,2025.12.01,00:00:13,ifeelgood78,Yenisei-aguila,0-1,1786,1799,300+0,Normal,74,37
Rated Blitz game,https://lichess.org/HuJ9uUtD,2025.12.01,00:00:13,edu171,Paullulo,0-1,1475,1494,300+0,Time forfeit,38,19
Rated Blitz game,https://lichess.org/Rls9jlbc,2025.12.01,00:00:13,qiZu,amir-iranian-33,0-1,1353,1331,300+0,Time forfeit,128,64
Rated Blitz game,https://lichess.org/78LsFScm,2025.12.01,00:00:13,Raff15,drengur,1-0,1104,1114,300+0,Normal,27,14
Rated Blitz game,https://lichess.org/hHtTcq4x,2025.12.01,00:00:13,KingsActor,theragoljub,1-0,1734,1734,300+0,Normal,78,39
Rated Blitz game,https://lichess.org/oSBwN3Rr,2025.12.01,00:00:13,Nebun_la_f5,sly88,0-1,1216,1164,300+0,Normal,36,18
Rated Blitz game,https://lichess.org/4MmWlfAP,2025.12.01,00:00:13,KaroJay,spolk95,1-0,1650,1688,300+0,Normal,33,17
Rated Blitz game,https://lichess.org/daLtAYQ4,2025.12.01,00:00:13,orhiiy,Bersange,1-0,1693,1699,300+0,Normal,50,25
Rated Blitz game,https://lichess.org/iWUm0T4Y,2025.12.01,00:00:13,andcheesetoo,JFZ84,0-1,1422,1459,300+0,Time forfeit,84,42
Rated Blitz game,https://lichess.org/g4d4vlVx,2025.12.01,00:00:13,Roosterboy,elxeriff,0-1,904,1015,300+0,Normal,72,36
Rated Blitz game,https://lichess.org/Qk5JqOA9,2025.12.01,00:00:13,Aventurierul,AD8LV,1-0,1727,1732,300+0,Normal,49,25
Rated Bullet game,https://lichess.org/jVCGCxDS,2025.12.01,00:00:13,Tinhau,StrasniMajstor,1-0,2314,2417,60+0,Time forfeit,79,40
Rated UltraBullet game,https://lichess.org/5ZxlPAxh,2025.12.01,00:00:13,Micikator81,arqcap,1-0,1630,1735,15+0,Time forfeit,69,35
Rated Bullet game,https://lichess.org/bn19cPLQ,2025.12.01,00:00:14,chesspawnrookking,LowKeyTitled,1-0,2602,2561,30+0,Time forfeit,99,50
Rated Bullet game,https://lichess.org/ISf1eG2I,2025.12.01,00:00:14,Izgubljeni,HGhosoun,0-1,2202,2236,60+0,Normal,68,34
Rated Bullet game,https://lichess.org/jNFp5H7l,2025.12.01,00:00:14,theimmortalpatzer,DelarioBS,1/2-1/2,2281,2271,60+0,Normal,145,73
Rated Bullet game,https://lichess.org/Fx6NU033,2025.12.01,00:00:14,Simon_Wagner,BlackberryRIM,1-0,2171,1893,0+1,Time forfeit,31,16
Rated Rapid game,https://lichess.org/WBUBfWck,2025.12.01,00:00:14,Thaily_yaml,MyIllusion,0-1,726,787,600+0,Normal,17,9
Rated Rapid game,https://lichess.org/nXafeSF8,2025.12.01,00:00:14,oukaise,sungtwins,1-0,816,793,600+0,Normal,57,29
Rated Rapid game,https://lichess.org/JdJxgg7t,2025.12.01,00:00:14,albamar,ash955,1-0,1539,1539,600+0,Normal,49,25
Rated Rapid game,https://lichess.org/MQYARpxn,2025.12.01,00:00:14,ArturBentlin,Ara_1984,1-0,683,560,600+0,Normal,117,59
Rated Rapid game,https://lichess.org/sUNemc7p,2025.12.01,00:00:14,Rutendobts,amrsalim8888,1-0,1762,1738,600+0,Normal,97,49
Rated Rapid game,https://lichess.org/6Nybc75z,2025.12.01,00:00:14,Jojochessworld,ratillafrutilla2012,1-0,1166,1136,600+0,Normal,94,47
Rated Rapid game,https://lichess.org/fVsEgDtA,2025.12.01,00:00:14,Aamer-Alsayid-Husain,notakebackismyname,0-1,1739,1760,600+0,Normal,36,18
Rated Rapid game,https://lichess.org/EDxIejfP,2025.12.01,00:00:14,matt02933,torentu,0-1,1632,1616,600+0,Normal,86,43
Rated Rapid game,https://lichess.org/LJaBQQ14,2025.12.01,00:00:14,nicole2003,malkzarrug,1-0,1981,1971,600+0,Normal,37,19
Rated Rapid game,https://lichess.org/4uApMpnX,2025.12.01,00:00:14,AmdRunKanDumb,Gospodinoff7,1-0,1367,1313,600+0,Normal,51,26
Rated Rapid game,https://lichess.org/XUQUJZT1,2025.12.01,00:00:14,Rafaelecheverria,zzzzxnlc,1-0,1505,1595,600+0,Normal,37,19
Rated Bullet game,https://lichess.org/MPqWMbJB,2025.12.01,00:00:15,thatguy96,I-take-your-Queen,0-1,2031,2008,60+0,Time forfeit,82,41
Rated Bullet game,https://lichess.org/ai2arNzk,2025.12.01,00:00:15,nfxpnk,Shivajitboss,0-1,1257,1225,60+0,Time forfeit,54,27
